Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Guatemala,39.30372501,37.564492,44.27705482,64.66903825,79.48288582,77.09789675,85.72382564,81.05669345,88.16593587,85.0025435,87.29729525,104.9315383,110.58845549,113.6242305,120.21231642,113.94969315
Guernsey,,,,,,,,,,,,,,,,
Guinea,7.32153964,7.08522708,7.86973162,6.93731405,7.92112,8.2902851,10.29114582,10.87456295,11.89643533,8.3340947,5.4772751,6.84063826,4.48172214,8.37558973,4.9237031,6.35699294
Guinea-Bissau,29.00424864,30.13277683,28.76156364,19.39410047,13.75234023,10.1698202,9.67261892,23.72277098,12.31302446,8.363207,9.08152299,9.24340958,10.02131124,9.88716934,9.60447152,10.04085699
Guyana,68.69951047,73.05809157,84.26837339,84.40447413,78.5121623,101.68570626,105.62819311,110.87858775,104.82713084,139.88009928,152.91543744,108.11396982,81.78521215,153.95982801,157.88072744,142.34930559
Haiti,24.19452653,22.87725646,23.37461193,19.76019821,16.88642279,16.92719219,14.76902386,11.93662176,9.78918956,10.33409164,9.60298316,14.44096883,14.83187038,15.41623614,15.48715362,16.34292162
Holy See,,,,,,,,,,,,,,,,
Honduras,64.63429951,57.14567794,57.67341211,72.58576828,70.22190233,91.97105076,95.27117691,106.31939385,134.84331125,128.34206382,123.85277109,123.31599532,137.64975882,146.19080501,177.78947433,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,552.64229751,536.62905362,551.40097501,570.66173606,586.12436592,603.10734634,669.11284663,781.97246751,934.57854245,944.45481978,1020.30523632,1077.89787948,1006.82613626,1061.40083394,1052.88608347,1018.85291204
Iceland,1651.06263626,1684.52845184,2142.45599687,2068.73169577,2427.86498829,2305.53498313,2383.68870663,2667.18304066,2679.01615488,2767.54929562,2763.25569401,2772.41068097,2902.13648115,3053.78193693,2939.89377646,2645.53839799
India,12.26855392,12.61671271,14.00684086,15.26885394,16.85433642,17.30903459,17.72432833,17.47492087,18.24292006,18.70757367,22.00641001,24.6048911,27.75214756,31.9789958,37.59329468,38.56519878
Indonesia,15.38174445,17.29930093,16.95783577,15.44770554,17.34766826,16.44630243,23.44713512,21.72270744,27.35879528,26.87360437,28.30625102,34.60561417,45.03463488,44.27536737,46.30863089,55.00758094
Iran,93.86116481,102.68204403,120.1454262,135.68213141,122.55967633,127.24146493,154.46606119,168.22653623,180.11794816,185.05620515,231.28523465,255.21722375,267.81690231,309.1332225,299.15629192,335.60963625
